# Terms that define the host taxon.			
"#   field : any Entrez field, e.g. ""All Fields"", ""Organism"", ""Title"""			
#   use   : query  -> only used to retrieve records			
"#           name   -> only used to recognise host-named viruses (e.g. ""shrimp"" in a virus name)"			
#           both   -> used for both			
# Replace this file to target a different host taxon.			
term	field	use	note
Astacidae	All Fields	both	family-level term
Cambaridae	All Fields	both	
Parastacidae	All Fields	both	
Cambaroididae	All Fields	both	
Astacidea	All Fields	both	infraorder
crayfish	All Fields	both	
crawfish	All Fields	both	
crawdad	All Fields	both	
yabby	All Fields	both	
shrimp		name	name-only
prawn		name	name-only
decapod		name	name-only
Decapoda		name	
lobster		name	
crab		name	
Reptantia		name	
Brachyura		name	
Anomura		name	
Gebiidea		name	
Axiidea		name	
Achelata		name	
Polychelida		name	
Caridea		name	
Procarididea		name	
Stenopodidea 		name	
Dendrobranchiata 		name	
Astacoides		both	
Astacopsis		both	
Astacus		both	
Austropotamobius		both	
Barbicambarus		both	
Bouchardina		both	
Cambarellus		both	
Cambaroides		both	
Cambarus		both	
Cherax		both	
Creaserinus		both	
Distocambarus		both	
Engaeus		both	
Engaewa		both	
Euastacus		both	
Fallicambarus		both	
Faxonella		both	
Faxonius		both	
Geocharax		both	
Gramastacus		both	
Hobbseus		both	
Lacunicambarus		both	
Ombrastacoides		both	
Orconectes		both	
Pacifastacus		both	
Paranephrops		both	
Parastacus		both	
Pontastacus		both	
Procambarus		both	
